,state,Service Jobs,Construction Jobs,Financial Jobs,Manufacturing Jobs,IT Jobs,B Camp Contr,Cook Partisan Index,Elasticity,National Poll Advantage,Avg Covid Cases,Avg Covid Deaths,Covid Cases Norm.,Covid Deaths Norm.,20 B Poll,16 B Poll ,12 B Poll ,Unemployment Rate,Population,Quart Wages ,Avg Week Wages,Home State Adv,Cost of Voting Index,High School diploma,4 year degree,Adv degree,Urbanization,religiousity,hispanic,white,black,asian,indian,18-25,26-34,35-54,55-64,65+,male,won
22,Montana,8065.513948,1933.683187,1127.343646,308.8860169,203.1097522,-0.51,-11,1.12,-8.4,6232.924686,81.21338912,0.005768144876,7.52E-05,-8.4,-20.5,-13.7,4.4,1080577,4046099647,879,0,-0.07,86,34.2,10.1,8.47,48,0.04,0.86,0,0.01,0.06,0.085,0.114,0.236,0.143,0.196,0.499,0
23,Nebraska,11160.27203,1598.758983,1568.592044,215.8798534,219.1925116,-0.5,-14,1.02,13.4,22327.43939,255.6212121,0.01152353041,0.000131929988,5,-2.2,-7.15,3,1937552,9365069287,950,0,-0.05,89,39.3,10.2,102,54,0.11,0.79,0.05,0.02,0.01,0.088,0.122,0.24,0.129,0.162,0.497,1
26,New Jersey,49669.80493,5394.61051,4046.547338,1227.31147,708.8196174,0.06,7,1.06,27.5,151147.3831,11529.56048,0.0170165582,0.001298027349,19.1,12.8,17.7,7.6,8882371,51407724685,1359,0,-0.26,91,47.5,14.7,12.24,55,0.2,0.55,0.13,0.1,0,0.082,0.117,0.267,0.139,0.165,0.487,1
27,New Mexico,10054.70549,1090.581726,1286.165889,307.1468614,252.6523193,-0.4,3,1.15,21,16594.58091,507.4647303,0.007878474682,0.000240924917,12.6,8.3,10.2,8.2,2106319,6798917920,911,0,0.25,74,25.3,11.8,9.9,57,0.49,0.37,0.02,0.01,0.09,0.09,0.117,0.238,0.132,0.183,0.488,1
28,New York,120357.9809,11334.98254,13598.18662,2358.582189,2830.003936,3.08,12,0.9,38.3,346866.8486,25525.96813,0.01793819449,0.001320073632,29.9,21.3,28.1,8.2,19336776,127766530403,1515,1,-0.25,82,45,15.4,12.56,46,0.19,0.55,0.14,0.09,0,0.086,0.134,0.257,0.136,0.169,0.484,1
31,Oklahoma,16780.02233,2170.156528,2654.481117,558.2496703,322.3086365,-0.48,-20,0.93,-23.6,36373.46748,528.7560976,0.009137264573,0.0001328271593,-23.6,-36.4,-33.6,5.3,3980783,14052577152,916,0,0.37,82,27.2,8.3,9.94,66,0.11,0.66,0.07,0.02,0.07,0.091,0.123,0.242,0.127,0.16,0.49,0
32,Oregon,26566.32635,3321.760414,3129.312522,886.5071128,1159.797019,-0.18,5,1.16,47.4,15305.88933,279.1501976,0.003608596975,6.58E-05,39,10.6,12,6.4,4241507,21110170825,1112,0,-1.69,79,36.7,12.2,10.71,48,0.13,0.76,0.02,0.04,0.01,0.084,0.128,0.261,0.129,0.183,0.492,1
34,South Carolina,23236.58017,2777.452025,3415.707032,1062.607694,761.0146918,-0.41,-8,0.72,-7.5,66706.45122,1497.756098,0.0127838137,0.0002870342308,-7.5,-14.1,-10.5,4.6,5218040,18627404348,913,0,0.74,81,30.8,9.8,10.11,70,0.06,0.64,0.27,0.02,0,0.082,0.116,0.249,0.138,0.184,0.477,0
35,Tennessee,25994.73505,2389.342901,3478.224871,930.8598176,985.1176467,-0.37,-14,1.01,-14,87540.79352,1079.890688,0.01271132621,0.0001568050992,-14,-26.2,-20.4,6.4,6886834,31007968038,1013,0,0.8,90,31.2,9.6,10.2,73,0.05,0.74,0.17,0.02,0,0.086,0.124,0.254,0.134,0.167,0.484,0
36,Texas,113749.1011,10180.85216,16815.86797,3410.237801,2149.496013,0.64,-8,1,-1.3,318672.3978,6150.048327,0.01085368392,0.0002094648959,-1.3,-9,-15.8,7.2,29360759,147016814612,1165,0,1.29,90,32.1,9.9,11.17,64,0.39,0.42,0.12,0.05,0,0.094,0.13,0.261,0.114,0.129,0.491,0
